RUN	test.scala.injectionprofile.BasicGet_OpenModel	basicget-openmodel	1589371588272	 	3.3.1
USER	basicGetScenario	1	START	1589371589851	1589371589851
REQUEST	1		basicGetRequest	1589371589875	1589371590528	OK	 
USER	basicGetScenario	1	END	1589371589851	1589371590556
USER	basicGetScenario	2	START	1589371590855	1589371590855
REQUEST	2		basicGetRequest	1589371590856	1589371591367	OK	 
USER	basicGetScenario	2	END	1589371590855	1589371591368
USER	basicGetScenario	3	START	1589371592774	1589371592774
REQUEST	3		basicGetRequest	1589371592774	1589371593612	OK	 
USER	basicGetScenario	3	END	1589371592774	1589371593614
